+/-;Código;Classificação;Tipo;Nome;Apelido;Grupo;Relatório;Filtro;Fórmula;Condição;Plano padrão;Saldo;Código subconta;Grupo subconta;Natureza subconta;Empreendimentos Imobiliários;Unidades imobiliárias;Caixa produtor rural;Banco produtor rural;Conta transitória de produtor rural;Conta participante do Carnê Leão
;1759;02.1.5.02.002;;    Assinatura de Periódicos a Pagar;ASSJORNAISPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1767;02.1.5.02.003;;    Aluguel a Pagar;ALUPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1775;02.2;T; PASSIVO NÃO CIRCULANTE;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1783;02.2.1;T;  EMPRÉSTIMOS E FINANCIAMENTOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1791;02.2.1.01;T;   EMPRÉSTIMOS E FINANCIAMENTOS BANCÁRIOS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1805;02.2.1.01.001;;    Banco do Brasil SA;EMPRBBPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1813;02.2.1.01.002;;    Caixa Econômica Federal SA;EMPRCEFPGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1902;02.3;T; PATRIMÔNIO LÍQUIDO;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1910;02.3.1;T;  CAPITAL;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1929;02.3.1.01;T;   CAPITAL SOCIAL;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1937;02.3.1.01.001;;    Capital Social Subscrito;CSSUBS;Passivo;Balanço Patrimonial;;;;90011;Comum
;1945;02.3.1.01.002;;    Capital Social Integralizado;CSINTEGR;Passivo;Balanço Patrimonial;;;;90011;Comum
;1953;02.3.2;T;  RESERVAS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1961;02.3.2.01;T;   RESERVAS DE CAPITAL;;Passivo;Balanço Patrimonial;;;;90011;Comum
;1970;02.3.2.01.001;;    Reservas de Correção Monetária do Capita;RCM;Passivo;Balanço Patrimonial;;;;90011;Comum
;2003;02.3.2.02;T;   RESERVAS DE LUCROS;;Passivo;Balanço Patrimonial;;;;90011;Comum
;3832;02.3.2.02.001;;    Reserva de Lucros;RESLUCR;Passivo;Balanço Patrimonial;;;;90011;Comum
;3840;02.3.2.02.002;;    Reserva de Contingências;RESCONT;Passivo;Balanço Patrimonial;;;;90011;Comum
;3859;02.3.2.02.003;;    Reserva Legal;RESLEGAL;Passivo;Balanço Patrimonial;;;;90011;Comum
;3867;02.3.2.02.004;;    Reserva Estatutária;RESESTAT;Passivo;Balanço Patrimonial;;;;90011;Comum
